Date,AMD,AAPL,BAC,COKE,FCX,F,GE,MDT,MRO,PFE,SIRI,SBUX,X,VALE,VZ,SP500
2013/5/1,4,59.776257,13.212564,57.751492,27.223215,13.487871,20.772995,48.115646,31.693775,24.1415,3.48157,30.070917,17.096003,12.787162,41.444366,1630.73999
2013/4/1,2.82,58.465508,11.906785,59.161709,26.679628,11.707266,19.855492,44.031338,29.960093,25.559732,3.24215,28.878136,17.156967,15.175876,46.086342,1597.569946
2013/3/1,2.55,58.449665,11.781043,58.026573,28.75094,11.22907,20.594839,44.052116,30.923,25.375092,3.07256,27.031719,18.795555,14.94929,41.580517,1569.189941
2013/2/1,2.49,58.283291,10.86216,62.942287,27.725985,10.767952,20.683916,42.175961,30.721247,24.065012,3.102488,26.034939,20.087147,16.419144,39.364014,1514.680054
2013/1/2,2.6,59.795277,10.939373,62.268906,30.61845,11.058285,19.685505,43.714409,30.673857,23.98588,3.132416,26.538023,21.494339,17.439398,36.893719,1498.109985
2012/12/3,2.4,69.86158,11.219623,63.727104,29.44523,10.97745,18.545725,38.479939,27.981565,21.860474,2.883019,25.360552,22.936911,18.122446,36.184238,1426.189941
2012/11/1,2.2,76.833694,9.51885,65.77787,33.586502,9.705931,18.500587,39.26152,28.154968,21.808176,2.71343,24.528282,20.734583,15.070336,36.895046,1416.180054
2012/10/1,2.05,77.796387,8.997534,65.873703,33.474579,9.460104,18.439299,38.767372,27.282852,21.484432,2.742817,21.615252,19.563017,15.839849,37.329891,1412.160034
2012/9/4,3.37,87.176598,8.524487,65.021683,33.812061,8.317781,19.883972,39.964054,26.838123,21.467154,2.537106,23.880379,18.296555,14.991051,37.692329,1440.670044
2012/8/1,3.72,86.933533,7.703909,65.537277,30.847738,7.879116,17.99542,37.684101,25.2498,20.611923,2.478331,23.362366,18.661144,13.709694,35.516975,1406.579956
2012/7/2,4.06,79.472862,7.077183,63.895027,28.763315,7.752578,18.030178,36.534855,23.876276,20.57737,2.115888,21.240725,19.769608,15.116673,37.336666,1379.319946
2012/6/1,5.73,75.990822,7.887106,61.145931,28.82972,8.046236,18.108381,35.657097,23.064465,19.687166,1.812219,25.012268,19.721739,16.624155,36.348255,1362.160034
2012/5/1,6.08,75.174957,7.086825,58.282692,27.111952,8.860089,16.401596,33.917053,22.469137,18.719929,1.851402,25.748751,19.434528,15.334421,34.058086,1310.329956
2012/4/2,7.36,75.988213,7.809102,60.779774,32.409103,9.464186,16.822592,35.169147,26.293201,19.409225,2.213845,26.829767,27.071463,18.592255,33.027512,1397.910034
2012/3/1,8.02,78.014206,9.214933,59.443851,31.914043,10.425879,17.243586,35.85886,28.408129,19.197334,2.262824,26.137627,28.065262,19.056089,30.861732,1408.469971
2012/2/1,7.35,70.582985,7.674296,61.054539,35.706142,10.34234,16.367229,34.87981,30.370708,17.909037,2.213845,22.709665,26.010773,20.53451,30.764862,1365.680054
2012/1/3,6.71,59.397751,6.857008,57.558395,38.768345,10.375756,15.934174,35.291561,27.986452,17.951416,2.037521,22.331516,28.80336,20.665197,30.401592,1312.410034
2011/12/1,5.4,52.699112,5.347119,55.246624,30.675287,8.953839,15.252862,34.778942,26.096319,18.15274,1.782831,21.441425,25.24468,17.520494,31.9716,1257.599976
2011/11/1,5.69,49.732346,5.231714,52.840496,33.018246,8.820697,13.419373,33.124104,24.928358,16.835743,1.76324,20.262403,26.046099,18.990746,30.067011,1246.959961
2011/10/3,5.83,52.670486,6.555563,52.719002,33.56855,9.71941,14.094136,31.587465,23.084747,15.995275,1.753444,19.663567,24.151875,20.755047,29.469336,1253.300049
2011/9/1,5.08,49.61784,5.874092,52.098999,25.209984,8.046805,12.837389,29.995075,19.138258,14.683098,1.479162,17.310066,20.961466,18.198996,28.923065,1131.420044
2011/8/1,6.83,50.074566,7.841721,52.606274,39.003033,9.25341,13.62607,31.646427,23.874046,15.762737,1.76324,17.927452,28.675591,22.541214,28.427914,1218.890015
2011/7/1,7.34,50.80975,9.308365,60.370186,43.846329,10.160444,14.962779,32.530758,27.311203,15.810707,2.066909,18.543945,38.02763,25.341402,27.736277,1292.280029
2011/6/1,6.99,43.677807,10.50666,63.308231,43.594193,11.475227,15.756451,34.546085,27.7113,16.91951,2.145275,18.266411,43.780746,24.958626,28.883463,1320.640015
2011/5/2,8.68,45.260078,11.254397,63.149158,42.55584,12.415547,16.27426,36.491714,28.495081,17.617645,2.302007,17.017504,43.847313,25.200788,28.650721,1345.199951
2011/4/1,9.1,45.559357,11.762042,65.678307,44.901985,12.873225,16.94545,37.433144,28.287622,17.058271,1.949359,16.685005,45.319111,26.091335,29.31016,1363.609985
2011/3/1,8.6,45.348564,12.767755,62.312817,45.123463,12.407226,16.613997,35.079048,27.905495,16.521387,1.616303,17.030689,51.236908,25.744213,29.519604,1325.829956
2011/2/1,9.21,45.960133,13.677437,53.791885,43.011475,12.523726,17.334904,35.587181,25.963472,15.650984,1.773035,15.20087,54.609013,26.423521,28.278769,1327.219971
2011/1/3,7.83,44.152748,13.141442,50.132099,44.16901,13.272653,16.573875,34.160843,23.793318,14.667027,1.586916,14.47456,54.732903,26.886688,27.283037,1286.119995
2010/12/1,8.18,41.971916,12.768161,51.579823,48.574547,13.971652,15.05145,32.863819,19.279352,14.09548,1.596712,14.750004,55.444706,26.545843,27.05056,1257.640015
2010/11/1,7.29,40.487232,10.47104,54.289665,40.616623,13.264331,12.925146,29.709459,17.425877,13.121434,1.342021,14.047623,46.134323,24.326651,24.200346,1180.550049
2010/10/1,7.34,39.163898,10.949169,49.257351,37.998909,11.758156,13.080281,31.215755,18.38199,13.879532,1.469366,13.055758,40.502544,24.679878,24.555679,1183.26001
2010/9/1,7.11,36.921909,12.526999,48.897068,34.123077,10.185409,13.268075,29.556168,17.105539,13.680342,1.175493,11.679783,41.564407,23.769207,24.280674,1141.199951
2010/8/2,5.61,31.632481,11.905429,45.940887,28.768244,9.394875,11.736049,27.6814,15.75673,12.676426,0.940394,10.504948,40.284485,20.333427,22.000868,1049.329956
2010/7/1,7.49,33.473694,13.415106,47.435375,28.588419,10.626444,13.06527,32.539951,17.154495,11.819721,1.008965,11.300362,41.985645,21.131561,21.650702,1101.599976
2010/6/1,7.32,32.729401,13.730418,44.052387,23.517075,8.387983,11.687419,31.725407,15.944184,11.236615,0.930599,11.050252,36.511314,18.509121,19.22967,1030.709961
2010/5/3,8.57,33.425552,15.029702,45.743881,27.860159,9.761016,13.168079,34.270786,15.944184,12.000957,1.008965,11.773293,44.713337,20.667885,18.886528,1089.410034
2010/4/1,9.07,33.973362,17.025387,50.405392,30.039652,10.834479,15.189601,38.215687,16.356066,13.037648,1.155902,11.81422,51.71978,23.275124,19.833599,1186.689941
2010/3/1,9.27,30.578499,17.044485,53.681557,33.166325,10.460015,14.658046,39.210091,16.096603,13.372947,0.852233,10.99108,60.103191,24.298553,20.964417,1169.430054
2010/2/1,7.91,26.625412,15.89852,50.927017,29.839371,9.769338,12.934516,37.79076,14.728091,13.684853,0.999169,10.375181,50.0923,21.030064,19.55192,1104.48999
2010/1/4,7.46,24.991091,14.486167,45.956764,26.476685,9.020411,12.870285,37.346676,15.03936,14.414265,0.822845,9.86797,41.993126,19.467529,19.88308,1073.869995
